time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008700521;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.947221;-0.065414;6.431495;-0.985984
1471008700531;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.946909;-0.031184;6.433234;-0.983513
1471008700541;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.946086;-0.082329;6.434973;-0.981042
1471008700551;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;1;1.0;6.897802;-0.992504;0.441778;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.945665;-0.042117;6.448753;-0.961417
1471008700561;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.944377;-0.128754;6.4513;-0.957817
1471008700571;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.943005;-0.13719;6.453851;-0.954221
1471008700581;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;32;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.942267;-0.073804;6.456407;-0.950628
1471008700591;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;32;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.940042;-0.222553;6.458862;-0.947183
1471008700601;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;32;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.93761;-0.243194;6.461325;-0.943742
1471008700611;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;32;0;1.0;6.897802;-0.992504;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.936278;-0.133121;6.463797;-0.940308
1471008700621;0.01;0.0;1;2.488609;-5.00378;5.211466;1.798;1;1;63;32;0;1.0;6.915155;-0.968707;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.933587;-0.269142;6.466812;-0.936556
1471008700631;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;32;0;1.0;6.915155;-0.968707;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.932219;-0.136823;6.469297;-0.933132
1471008700641;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;32;0;1.0;6.932694;-0.945047;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.929462;-0.275685;6.471788;-0.929711
1471008700651;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;32;0;1.0;6.932694;-0.945047;0.0001;0;0.391608;7.367313;-1.207867;0;0.859774;0.011151;0.0;0.0;0.0;1;0.926713;-0.274865;6.474287;-0.926297
1471008700661;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;32;0;1.0;6.932694;-0.945047;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.925392;-0.132147;6.476796;-0.92289
1471008700671;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;32;0;1.0;6.932694;-0.945047;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.922579;-0.281266;6.47931;-0.919487
1471008700681;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.932694;-0.945047;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.920158;-0.242144;6.481833;-0.91609
1471008700691;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.932694;-0.945047;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.919;-0.115814;6.484285;-0.912807
1471008700701;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.916832;-0.216767;6.48674;-0.909527
1471008700711;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.91493;-0.190217;6.489202;-0.906252
1471008700721;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.914045;-0.088432;6.491671;-0.902981
1471008700731;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.912549;-0.14962;6.494143;-0.899713
1471008700741;0.01;0.0;0;2.488609;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.911837;-0.071196;6.496619;-0.896449
1471008700751;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;1;1.0;6.950435;-0.921538;0.441765;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.910327;-0.151063;6.500921;-0.890745
1471008700761;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.908727;-0.159955;6.503598;-0.887235
1471008700771;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.907902;-0.082502;6.50628;-0.883728
1471008700781;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.906173;-0.172876;6.508966;-0.880224
1471008700791;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.904144;-0.202979;6.511628;-0.876762
1471008700801;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.903123;-0.102087;6.514298;-0.873306
1471008700811;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.901016;-0.210687;6.516971;-0.869853
1471008700821;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.898893;-0.212326;6.519651;-0.866405
1471008700831;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;28;0;1.0;6.950435;-0.921538;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.897846;-0.104693;6.522339;-0.862963
